            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460318.547137292, A.D. 2024-Jan-09 01:07:52.6620,  1.195741571450829E+05,  5.246084533445686E+05,  2.983847717192530E+04, -1.206502540728604E+00,  1.871986401091739E+00,  1.901953675520989E-01,  1.797543277157770E+00,  5.388899174205033E+05,  1.565196302666241E+00,
2460318.551738055, A.D. 2024-Jan-09 01:14:30.1680,  1.190943270179284E+05,  5.253512042765752E+05,  2.991404398658485E+04, -1.207698170670576E+00,  1.865076361160499E+00,  1.900091272778758E-01,  1.799615225129759E+00,  5.395110717958737E+05,  1.560068174534775E+00,
2460318.556338820, A.D. 2024-Jan-09 01:21:07.6740,  1.186140244670411E+05,  5.260912172624853E+05,  2.998953659948564E+04, -1.208879474030954E+00,  1.858210740022187E+00,  1.898220271790424E-01,  1.801680399189140E+00,  5.401301954033336E+05,  1.554978729975249E+00,
2460318.560939583, A.D. 2024-Jan-09 01:27:45.1800,  1.181332551387316E+05,  5.268285098294994E+05,  3.006495467383863E+04, -1.210046696702074E+00,  1.851388882229231E+00,  1.896340926861234E-01,  1.803738850215419E+00,  5.407473034961743E+05,  1.549927342717845E+00,
2460318.565540347, A.D. 2024-Jan-09 01:34:22.6860,  1.176520245846340E+05,  5.275630992492936E+05,  3.014029788249268E+04, -1.211200078720061E+00,  1.844610145716070E+00,  1.894453485004818E-01,  1.805790628275698E+00,  5.413624110841356E+05,  1.544913400070645E+00,
2460318.570141111, A.D. 2024-Jan-09 01:41:00.1920,  1.171703382644760E+05,  5.282950025443966E+05,  3.021556590756532E+04, -1.212339854530516E+00,  1.837873901320765E+00,  1.892558186348070E-01,  1.807835782646407E+00,  5.419755329399199E+05,  1.539936302404185E+00,
2460318.574741875, A.D. 2024-Jan-09 01:47:37.6980,  1.166882015490030E+05,  5.290242364943248E+05,  3.029075844004715E+04, -1.213466253259165E+00,  1.831179532304266E+00,  1.890655264547506E-01,  1.809874361834353E+00,  5.425866836055020E+05,  1.534995462632499E+00,
2460318.579342639, A.D. 2024-Jan-09 01:54:15.2040,  1.162056197229218E+05,  5.297508176417116E+05,  3.036587517940032E+04, -1.214579498989018E+00,  1.824526433863459E+00,  1.888744947218827E-01,  1.811906413597770E+00,  5.431958773984400E+05,  1.530090305687200E+00,
2460318.583943403, A.D. 2024-Jan-09 02:00:52.7100,  1.157225979878739E+05,  5.304747622984467E+05,  3.044091583315039E+04, -1.215679811045250E+00,  1.817914012636295E+00,  1.886827456381645E-01,  1.813931984967402E+00,  5.438031284181966E+05,  1.525220267982694E+00,
2460318.588544167, A.D. 2024-Jan-09 02:07:30.2160,  1.152391414653003E+05,  5.311960865520533E+05,  3.051588011649216E+04, -1.216767404289346E+00,  1.811341686195247E+00,  1.884903008921043E-01,  1.815951122268296E+00,  5.444084505526711E+05,  1.520384796869187E+00,
