            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460320.851720833, A.D. 2024-Jan-11 08:26:28.6800, -2.074292306490200E+04,  3.500413908040248E+05,  2.492134510387345E+04, -2.296755283541541E-01,  4.969174323423311E-01,  8.789577629709572E-02,  1.172610963947700E+00,  3.515399231596304E+05,  5.145824983256460E-01,
2460320.862257639, A.D. 2024-Jan-11 08:41:39.0600, -2.095194568055758E+04,  3.504924654709895E+05,  2.500126950389751E+04, -2.295229226531142E-01,  4.940429700863768E-01,  8.768895141619221E-02,  1.174169380619033E+00,  3.520071247241174E+05,  5.118067587129789E-01,
2460320.872794444, A.D. 2024-Jan-11 08:56:49.4400, -2.116082893289556E+04,  3.509409268671283E+05,  2.508100568738009E+04, -2.293693649691668E-01,  4.911763651835878E-01,  8.748228552541981E-02,  1.175719379406398E+00,  3.524718026704786E+05,  5.090383885710765E-01,
2460320.883331250, A.D. 2024-Jan-11 09:11:59.8200, -2.136957195729323E+04,  3.513867821117089E+05,  2.516055379860115E+04, -2.292148583183188E-01,  4.883175436674100E-01,  8.727577877451256E-02,  1.177260982582162E+00,  3.529339636758014E+05,  5.062773182628707E-01,
2460320.893868056, A.D. 2024-Jan-11 09:27:10.2000, -2.157817389568608E+04,  3.518300382581996E+05,  2.523991398008497E+04, -2.290594164400687E-01,  4.854664339750011E-01,  8.706942521390695E-02,  1.178794212212578E+00,  3.533936143553825E+05,  5.035234807118941E-01,
2460320.904404861, A.D. 2024-Jan-11 09:42:20.5800, -2.178663389648194E+04,  3.522707022946881E+05,  2.531908637247460E+04, -2.289030401243124E-01,  4.826229649993051E-01,  8.686322675174862E-02,  1.180319090159002E+00,  3.538507612630909E+05,  5.007768090282545E-01,
2460320.914941667, A.D. 2024-Jan-11 09:57:30.9600, -2.199495111478271E+04,  3.527087811451913E+05,  2.539807111460603E+04, -2.287457401774882E-01,  4.797870662177440E-01,  8.665717916968435E-02,  1.181835638082168E+00,  3.543054108926516E+05,  4.980372370333699E-01,
2460320.925478472, A.D. 2024-Jan-11 10:12:41.3400, -2.220312471164925E+04,  3.531442816694636E+05,  2.547686834351058E+04, -2.285875225067381E-01,  4.769586679133287E-01,  8.645128111780831E-02,  1.183343877441278E+00,  3.547575696773714E+05,  4.953046992146959E-01,
2460320.936015278, A.D. 2024-Jan-11 10:27:51.7200, -2.241115385471723E+04,  3.535772106645625E+05,  2.555547819438305E+04, -2.284283918126876E-01,  4.741377011575072E-01,  8.624553129970294E-02,  1.184843829499191E+00,  3.552072439916954E+05,  4.925791307298403E-01,
2460320.946552083, A.D. 2024-Jan-11 10:43:02.1000, -2.261903771735686E+04,  3.540075748645953E+05,  2.563390080061562E+04, -2.282683594306384E-01,  4.713240974901982E-01,  8.603992585965300E-02,  1.186335515321295E+00,  3.556544401508676E+05,  4.898604673960053E-01,
