            JDUT ,            Calendar Date (UT ),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2460356.994659722, A.D. 2024-Feb-16 11:52:18.6000, -2.902131896045994E+05, -9.814840158655384E+04, -2.821893882320703E+04,  1.406798889486931E-01,  4.454519363691425E-01,  3.955038213331935E-02,  1.026234822591253E+00,  3.076574599498256E+05, -2.784383146474420E-01,
2460357.001753472, A.D. 2024-Feb-16 12:02:31.5000, -2.901261866539947E+05, -9.787632505194453E+04, -2.819462417643745E+04,  1.432243923093877E-01,  4.423867941609196E-01,  3.979211246831951E-02,  1.025664389846779E+00,  3.074864485152363E+05, -2.796034248400736E-01,
2460357.008847222, A.D. 2024-Feb-16 12:12:44.4000, -2.900376270717476E+05, -9.760611733052321E+04, -2.817016220134067E+04,  1.457594624285785E-01,  4.393536011356238E-01,  4.003114873526958E-02,  1.025091566087886E+00,  3.073147202725568E+05, -2.807773465082337E-01,
2460357.015940972, A.D. 2024-Feb-16 12:22:57.3000, -2.899475166177679E+05, -9.733775896963236E+04, -2.814555453373400E+04,  1.482851700034779E-01,  4.363519368207329E-01,  4.026754103324923E-02,  1.024516333534373E+00,  3.071422698914176E+05, -2.819598512072181E-01,
2460357.023034722, A.D. 2024-Feb-16 12:33:10.2000, -2.898558610089445E+05, -9.707123077222484E+04, -2.812080277903219E+04,  1.508015847370110E-01,  4.333813887588876E-01,  4.050133830021846E-02,  1.023938674868171E+00,  3.069690921799918E+05, -2.831507156483473E-01,
2460357.030128472, A.D. 2024-Feb-16 12:43:23.1000, -2.897626659197256E+05, -9.680651379162289E+04, -2.809590851299264E+04,  1.533087753561835E-01,  4.304415522910883E-01,  4.073258834921736E-02,  1.023358573222461E+00,  3.067951820817345E+05, -2.843497215577742E-01,
2460357.037222222, A.D. 2024-Feb-16 12:53:36.0000, -2.896679369827904E+05, -9.654358932687501E+04, -2.807087328243896E+04,  1.558068096272124E-01,  4.275320303588140E-01,  4.096133790122578E-02,  1.022776012171903E+00,  3.066205346724528E+05, -2.855566555412510E-01,
2460357.044315972, A.D. 2024-Feb-16 13:03:48.9000, -2.895716797895188E+05, -9.628243891793660E+04, -2.804569860587487E+04,  1.582957543752284E-01,  4.246524333186126E-01,  4.118763261483943E-02,  1.022190975722191E+00,  3.064451451571739E+05, -2.867713089592878E-01,
2460357.051409722, A.D. 2024-Feb-16 13:14:01.8000, -2.894738998906371E+05, -9.602304434138465E+04, -2.802038597414595E+04,  1.607756754987713E-01,  4.218023787628347E-01,  4.141151711557323E-02,  1.021603448300906E+00,  3.062690088674045E+05, -2.879934778022742E-01,
2460357.058503472, A.D. 2024-Feb-16 13:24:14.7000, -2.893746027967437E+05, -9.576538760588979E+04, -2.799493685106346E+04,  1.632466379868170E-01,  4.189814913317345E-01,  4.163303502671981E-02,  1.021013414747908E+00,  3.060921212582489E+05, -2.892229625675857E-01,
2460357.065597222, A.D. 2024-Feb-16 13:34:27.6000, -2.892737939789373E+05, -9.550945094828546E+04, -2.796935267400268E+04,  1.657087059328987E-01,  4.161894025778801E-01,  4.185222898974680E-02,  1.020420860306830E+00,  3.059144779058591E+05, -2.904595681522774E-01,
